OBJECTID,Field1,UN1,E,N,Ellps Height (m),Latitude,Longitude,gravity Geoid Height (m),UN
277,52SL-412-037,-98.501,399295,484781,-96.42,6.8623,79.8626,-97.29,1.211
278,52TL-024-014,-97.62,425154,484024,-71.125,6.85585,80.0965,-96.31,1.31
279,52TL-024-023,-97.459,428523,481865,-78.381,6.83637,80.127,-96.17,1.289
280,52TL-036-001,-96.835,438237,494113,-64.135,6.94723,80.2148,-95.59,1.245
281,53TL-024-034,-97.379,430255,477446,-76.101,6.79643,80.1428,-96.15,1.229
282,53TL-024-040,-97.431,431547,475008,-64.275,6.7744,80.1545,-96.13,1.301
283,53TL-037-019,-98.111,413030,468228,-90.049,6.71285,79.9871,-97.01,1.101
284,53TL-038-001,-98.467,421653,468510,-80.269,6.71552,80.0651,-96.68,1.787
285,53TL-038-011,-97.999,425839,470236,-80.661,6.73118,80.1029,-96.48,1.519
286,53TL-038-017,-97.819,428508,471189,-82.325,6.73983,80.127,-96.34,1.479
287,53TL-038-021,-97.812,430454,471259,-86.495,6.74048,80.1446,-96.26,1.552
288,53TL-038-032,-97.549,435702,471017,-85.208,6.73835,80.1921,-96.01,1.539
289,53TL-058-001,-98.094,420820,454798,-91.4168,6.59151,80.0577,-96.95,1.144
290,53TL-058-023,-97.957,426497,449724,-81.7812,6.5457,80.1091,-96.83,1.127
291,53TL-067-021,-98.406,416870,445148,-96.4649,6.5042,80.0221,-97.28,1.126
292,53TL-067-027,-98.431,418086,442649,-94.7925,6.48162,80.0331,-97.29,1.141
293,53TL-068-102,-97.58,432062,458529,-87.859,6.62539,80.1593,-96.44,1.14
294,53TL-068-108,-97.496,434338,460548,-82.959,6.64367,80.1799,-96.3,1.196
295,53TL-068-115,-97.635,432613,464279,-84.817,6.67739,80.1642,-96.3,1.335
296,53TL-068-125,-97.299,435060,468231,-79.353,6.71315,80.1863,-96.1,1.199
297,53TL-068-75,-98.024,427450,446458,-86.213,6.51618,80.1178,-96.86,1.164
298,53TL-070-013,-97.936,423283,459901,-92.97,6.63769,80.0799,-96.76,1.176
299,53TL-070-062,-98.227,411397,462845,-95.764,6.66415,79.9724,-97.16,1.067
300,53TL-070-075,-98.341,410698,457813,-91.485,6.61864,79.9661,-97.27,1.071
301,61PL-304-007,-96.799,440936,496191,-70.046,6.96605,80.2392,-95.42,1.379
302,61PL-304-016,-96.374,443516,499937,-68.343,6.99995,80.2625,-95.26,1.114
303,61PL-313-003,-96.632,443431,502550,-71.581,7.02358,80.2617,-95.25,1.382
304,61PL-313-008,-97.047,442840,504545,-69.28,7.04162,80.2563,-95.27,1.777
305,61PL-313-019,-96.462,445157,510046,-71.154,7.09138,80.2773,-95.11,1.352
